ANO;IBGE;VENDAS;VENDAS_CORRECAO;MUNICIPIO;UF;REGIAO
1992;3548708;6945764;6945764;SAO BERNARDO DO CAMPO;SP;SUDESTE
1992;3550303;176549955;176549955;SAO PAULO;SP;SUDESTE
1992;5208700;13973180;13973180;GOIANIA;GO;CENTRO-OESTE
1992;1100181;1119750;1119750;PIMENTA BUENO;RO;NORTE
1992;2922002;1964585;1964585;MUCURI;BA;NORDESTE
1992;3134202;602400;602400;ITUIUTABA;MG;SUDESTE
1992;3205100;2097360;2097360;VIANA;ES;SUDESTE
1992;3301907;1221830;1221830;ITABORAI;RJ;SUDESTE
1992;3304558;32450384;32450384;RIO DE JANEIRO;RJ;SUDESTE
1992;3503909;2162180;2162180;ARUJA;SP;SUDESTE
1992;3509001;1891850;1891850;CAIEIRAS;SP;SUDESTE
1992;3509508;11501115;11501115;CAMPINAS;SP;SUDESTE
1992;3515702;3864772;3864772;FERRAZ DE VASCONCELOS;SP;SUDESTE
1992;3518701;2907020;2907020;GUARUJA;SP;SUDESTE
1992;3529002;1811010;1811010;MARILIA;SP;SUDESTE
1992;3544303;1292040;1292040;ROSEIRA;SP;SUDESTE
1992;3548503;2439240;2439240;SANTOS;SP;SUDESTE
1992;3551601;96930;96930;SERRA NEGRA;SP;SUDESTE
1992;3552209;2543860;2543860;SOROCABA;SP;SUDESTE
1992;3554007;1876730;1876730;TATUI;SP;SUDESTE
1992;3554104;4718380;4718380;TAUBATE;SP;SUDESTE
1992;5103401;5818900;5818900;CUIABA;MT;CENTRO-OESTE
1992;3304906;4713090;4713090;SAO GONCALO;RJ;SUDESTE
1992;3106209;100125297;100125297;BELO HORIZONTE;MG;SUDESTE
1992;3106705;9194755;9194755;BETIM;MG;SUDESTE
1992;3303306;1254410;1254410;NITEROI;RJ;SUDESTE
1992;3123200;86310;86310;DORES DO INDAIA;MG;SUDESTE
1992;3134407;2339570;2339570;ITURAMA;MG;SUDESTE
1992;3136701;4054130;4054130;JUIZ DE FORA;MG;SUDESTE
1992;3301702;5466320;5466320;DUQUE DE CAXIAS;RJ;SUDESTE
1992;3503305;554230;554230;ARARAS;SP;SUDESTE
1992;3506606;94740;94740;BIRITIBA-MIRIM;SP;SUDESTE
1992;3522601;135390;135390;ITAPIRA;SP;SUDESTE
1992;3523802;31100;31100;ITOBI;SP;SUDESTE
1992;3534405;4727150;4727150;OSASCO;SP;SUDESTE
1992;3536203;26400;26400;PARIQUERA-ACU;SP;SUDESTE
1992;3537200;187550;187550;PEDRO DE TOLEDO;SP;SUDESTE
1992;3546608;1017770;1017770;SANTA FE DO SUL;SP;SUDESTE
1992;3549801;1302080;1302080;SAO JOSE DO RIO PRETO;SP;SUDESTE
1992;3549909;2974345;2974345;SAO JOSE DOS CAMPOS;SP;SUDESTE
1992;4127102;408625;408625;TELEMACO BORBA;PR;SUL
1992;5002702;6265050;6265050;CAMPO GRANDE;MS;CENTRO-OESTE
1992;5102502;225480;225480;CACERES;MT;CENTRO-OESTE
1992;5106800;100380;100380;PORTO DOS GAUCHOS;MT;CENTRO-OESTE
1992;5107911;331685;331685;SORRISO;MT;CENTRO-OESTE
1992;3501604;1489170;1489170;AMERICANA;SP;SUDESTE
1992;3513106;574780;574780;CRAVINHOS;SP;SUDESTE
1992;3513807;6104753;6104753;DIADEMA;SP;SUDESTE
1992;3523900;1555210;1555210;ITU;SP;SUDESTE
1992;3525902;1580915;1580915;JUNDIAI;SP;SUDESTE
1992;3529401;284440;284440;MAUA;SP;SUDESTE
1992;3537404;911450;911450;PEREIRA BARRETO;SP;SUDESTE
1992;3537609;53300;53300;PERUIBE;SP;SUDESTE
1992;3552802;2378590;2378590;TABOAO DA SERRA;SP;SUDESTE
1992;5214408;143360;143360;NAZARIO;GO;CENTRO-OESTE
1992;1302604;20083932;20083932;MANAUS;AM;NORTE
1992;2915600;670590;670590;ITAMARAJU;BA;NORDESTE
1992;3118606;1879895;1879895;CONTAGEM;MG;SUDESTE
1992;3147100;3500;3500;PARA DE MINAS;MG;SUDESTE
1992;3167208;2473655;2473655;SETE LAGOAS;MG;SUDESTE
1992;3205002;2602570;2602570;SERRA;ES;SUDESTE
1992;3303500;10357350;10357350;NOVA IGUACU;RJ;SUDESTE
1992;3304000;1165410;1165410;PIRAI;RJ;SUDESTE
1992;3500004;1749510;1749510;*;SP;SUDESTE
1992;3505707;10290588;10290588;BARUERI;SP;SUDESTE
1992;3506002;1821200;1821200;BAURU;SP;SUDESTE
1992;3518809;5334180;5334180;GUARULHOS;SP;SUDESTE
1992;3523403;2127005;2127005;ITATIBA;SP;SUDESTE
1992;3524400;1805670;1805670;JACAREI;SP;SUDESTE
1992;3524906;1480860;1480860;JAMBEIRO;SP;SUDESTE
1992;3526909;1578605;1578605;LIMEIRA;SP;SUDESTE
1992;3530604;2630640;2630640;MOJI DAS CRUZES;SP;SUDESTE
1992;4103807;101140;101140;CAMBIRA;PR;SUL
1992;4104803;4999840;4999840;CASCAVEL;PR;SUL
1992;4105800;1308675;1308675;COLOMBO;PR;SUL
1992;4106903;21174880;21174880;CURITIBA;PR;SUL
1992;4202309;5979500;5979500;BIGUACU;SC;SUL
1992;4203208;1193500;1193500;CAMBORIU;SC;SUL
1992;4205405;1186120;1186120;FLORIANOPOLIS;SC;SUL
1992;4301609;894880;894880;BAGE;RS;SUL
1992;4304608;19652935;19652935;CANOAS;RS;SUL
1992;4307801;956450;956450;ESTRELA;RS;SUL
1992;4309308;1513550;1513550;GUAIBA;RS;SUL
1992;4314107;4508300;4508300;PASSO FUNDO;RS;SUL
1992;4314409;980620;980620;PELOTAS;RS;SUL
1992;4314905;6292240;6292240;PORTO ALEGRE;RS;SUL
1992;4316401;173190;173190;ROSARIO DO SUL;RS;SUL
1992;4318609;3600;3600;SAO JOSE DO OURO;RS;SUL
1992;1500805;501840;501840;ANANINDEUA;PA;NORTE
1992;2103303;830990;830990;CODO;MA;NORDESTE
1992;2304406;33915093;33915093;FORTALEZA;CE;NORDESTE
1992;2504006;1175790;1175790;CAMPINA GRANDE;PB;NORDESTE
1992;2507501;4169720;4169720;JOAO PESSOA;PB;NORDESTE
1992;2601206;444680;444680;ARCOVERDE;PE;NORDESTE
1992;2611600;6718400;6718400;RECIFE;PE;NORDESTE
1992;2704307;5388640;5388640;MACEIO;AL;NORDESTE
1992;3145603;66720;66720;OLIVEIRA;MG;SUDESTE
1992;3510409;102580;102580;CAPIVARI;SP;SUDESTE
1992;3515001;301720;301720;EMBU;SP;SUDESTE
1992;3538702;4991620;4991620;PIRACICABA;SP;SUDESTE
1992;4301102;162220;162220;ARROIO DOS RATOS;RS;SUL
1992;4308603;250040;250040;GARIBALDI;RS;SUL
1992;4313500;2242320;2242320;OSORIO;RS;SUL
1992;5203902;1356075;1356075;BURITI ALEGRE;GO;CENTRO-OESTE
1992;2105306;1348195;1348195;IMPERATRIZ;MA;NORDESTE
1992;4303105;1347725;1347725;CACHOEIRINHA;RS;SUL
1992;4313402;548070;548070;NOVO HAMBURGO;RS;SUL
1992;4317904;60250;60250;SANTO CRISTO;RS;SUL
1992;4322800;54440;54440;VERANOPOLIS;RS;SUL
1992;1400100;3829958;3829958;BOA VISTA;RR;NORTE
1992;3125700;57320;57320;FELIXLANDIA;MG;SUDESTE
1992;3144801;1398520;1398520;NOVA LIMA;MG;SUDESTE
1992;3170705;405890;405890;VARGINHA;MG;SUDESTE
1992;3205207;1144300;1144300;VILA VELHA;ES;SUDESTE
1992;3507602;455285;455285;BRAGANCA PAULISTA;SP;SUDESTE
1992;3520501;51750;51750;INDAIATUBA;SP;SUDESTE
1992;3522202;636220;636220;ITAPECERICA DA SERRA;SP;SUDESTE
1992;3524302;8000;8000;JABOTICABAL;SP;SUDESTE
1992;3530809;873595;873595;MOJI-MIRIM;SP;SUDESTE
1992;3536505;14146980;14146980;PAULINIA;SP;SUDESTE
1992;3541002;56540;56540;PRAIA GRANDE;SP;SUDESTE
1992;3551008;14200;14200;SAO VICENTE;SP;SUDESTE
1992;4101804;1852185;1852185;ARAUCARIA;PR;SUL
1992;4119509;105225;105225;PIRAQUARA;PR;SUL
1992;4122305;3800;3800;RIO NEGRO;PR;SUL
1992;4125509;1480510;1480510;SAO JOSE DOS PINHAIS;PR;SUL
1992;4127609;1200;1200;TIJUCAS DO SUL;PR;SUL
1992;4219309;85730;85730;VIDEIRA;SC;SUL
1992;4304705;631090;631090;CARAZINHO;RS;SUL
1992;4306600;97860;97860;DOM PEDRITO;RS;SUL
1992;4309200;821430;821430;GRAVATAI;RS;SUL
1992;4310802;485605;485605;IVOTI;RS;SUL
1992;4313305;366820;366820;NOVA PRATA;RS;SUL
1992;4317106;1169590;1169590;SANTANA DO LIVRAMENTO;RS;SUL
1992;4317505;863860;863860;SANTO ANGELO;RS;SUL
1992;4320107;27520;27520;SARANDI;RS;SUL
1992;4321200;431150;431150;TAQUARA;RS;SUL
1992;4322002;614690;614690;TRIUNFO;RS;SUL
